,base_case
HNC + O <=> CO + NH,0.0
HNC + OH <=> H + HNCO,0.0
H + H2CN <=> H2 + HCN,9.67627926762187e-07
H2CN + M <=> H + HCN + M,1.7795643449910434e-05
HCNH <=> H + HCN,1.4188014727518624e-06
H + NCN <=> HCN + N,-4.402663167942089e-08
NCN + O <=> CN + NO,0.0
CH + N2 (+M) <=> HCNN (+M),0.0
CH + N2 <=> HNCN,0.0
HNCN + O <=> HCN + NO,1.5298853404348289e-09
HNCN + OH <=> H2O + NCN,0.0
H + NCO <=> CO + NH,0.0
NCO + O <=> CO + NO,0.0
HNCO + OH <=> H2O + NCO,0.0
H + HOCN <=> H2 + NCO,0.0
H + HOCN <=> CO + NH2,0.0
H + HCNO <=> HCN + OH,3.9499163479495304e-07
H + HCNO <=> H + HNCO,0.0
HCNO + O <=> HCO + NO,0.0
HCNO + OH <=> CH2O + NO,0.0
